ID;pH;EC;Na;K;MO;Kdisp;Silt;ECEC;BD;CEC;Ca;Mg;Sand;Clay;SQIw;SAVI;EVI;NDWI;NDVI;NDMI;NDII;GCI;clase;X;Y;dpto;prov;dist;Culitvo priorizado;Textura;TS;GM;ZV;CL;EG;MP;SSST;ECP;EMP;EPP;ESP;CM;CK;MK;CMK;DC;FC;NDC;GR;SK;SA;Pmon;Pan;Tmin;Tmax;Tavg;Slope;Hillshade;Orientition;Elevation;TPI;TRI;TWI;Precipitation;Temperature
12;7.3;4.79;0.1;0.1;2.4;105.9;27.2;18.6;1.5;17.2;14.3;3.1;48.8;24;0.8;0.24;0.32;-0.29;0.3;0.26;0.15;0.86;Bajo;596502;9439135;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;76.88;16.67;0.54;0.54;4.61;143;31;174;26.57;727.48;-700.91;0;NA;NA;14.33;172;18.29;29.86;24.06;3.25;180;153.34;115;0.265;0.898;11.659;216.12;24.8
13;7.7;6.49;0.3;0.4;0.8;118.4;26.2;24;1.45;19.4;18.4;3.9;36.1;37.7;0.78;0.35;0.48;-0.32;0.45;0.28;0.16;1;Bajo;599467;9432852;Piura;Morropon;Chulucanas;Mango;Loam;Acrisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;76.67;16.25;1.67;1.25;4.72;46;9.75;55.75;50.53;934.24;-883.71;0;NA;NA;14.67;176;18.25;29.95;24.1;5.12;183;341.5;100;0.143;1.325;7.586;216.37;24.8
14;7.5;5.76;0.1;0.6;3.7;300.5;30.2;33.8;1.45;16.7;26;6.1;36.1;33.7;0.87;0.3;0.39;-0.35;0.36;0.22;0.08;0.88;Muy alto;598079;9435641;Piura;Morropon;Chulucanas;Mango;Clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;76.92;18.05;1.78;0.3;4.26;43.33;10.17;53.5;65.87;1335.48;-1269.61;0;NA;NA;14.25;171;18.28;29.83;24.06;1.62;180;165.91;109;4.327;2.824;8.784;216.38;24.81
15;7.7;4.89;0.1;0.5;1.7;64;33.2;33.1;1.39;19.4;26.6;4.9;16.8;50;0.82;0.35;0.48;-0.32;0.45;0.39;0.25;1.35;Medio;599434;9432810;Piura;Morropon;Chulucanas;Mango;Silty clay loam;Acrisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;80.36;14.8;1.51;0.3;5.43;53.2;9.8;63;59.93;1329.98;-1270.05;0;NA;NA;14.67;176;18.25;29.95;24.1;3.25;186;270;101;0.571;1.03;8.045;216.37;24.8
16;7.8;7.08;0.1;0.2;1.2;252.8;27.2;27.55;1.46;16.9;24.4;2.1;36.8;36;0.79;0.34;0.45;-0.31;0.41;0.25;0.11;0.96;Medio;595779;9436547;Piura;Morropon;Chulucanas;Mango;Clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;88.57;7.62;0.73;0.36;11.62;122;10.5;132.5;39.47;1155.08;-1115.61;0;NA;NA;13.08;157;18.25;29.77;24.01;8.26;183;191.35;105;1.388;2.174;7.145;210.07;24.8
17;7.7;9.9;0.1;0.6;2.7;73.1;13.2;21.4;1.54;20.3;15.3;3.4;66.8;20;0.71;0.36;0.51;-0.27;0.44;0.3;0.18;1.03;Bajo;593289;9434839;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;71.5;15.89;2.8;0.47;4.5;25.5;5.67;31.17;50.58;781.08;-730.5;0;NA;NA;13.17;158;18.22;29.87;24.03;3.24;180;180;97;3.327;2.622;7.982;199.3;24.8
18;7.6;5.7;0.1;1.2;1.1;55.1;21.2;22.7;1.51;17.4;16.6;3.8;54.6;24.3;0.77;0.36;0.49;-0.26;0.46;0.33;0.22;1.12;Bajo;598127;9440020;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;73.13;16.74;5.29;0.44;4.37;13.83;3.17;17;79.56;850.98;-771.42;0;NA;NA;14.58;175;18.27;29.83;24.06;3.63;186;296.48;127;-0.51;1.145;8.172;222.17;24.72
19;7.6;8.13;0.1;0.4;3.5;150.4;23.2;30.1;1.51;16.9;24.3;4.3;54.6;22.2;0.84;0.36;0.51;-0.31;0.44;0.31;0.17;1.08;Medio;596108;9436163;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;80.73;14.29;1.33;0.33;5.65;60.75;10.75;71.5;52.11;1210.18;-1158.07;0;NA;NA;13.33;160;18.22;29.79;24.01;6.68;177;165.91;102;1.061;1.9;7.332;210.38;24.8
20;7;3.16;0.1;0.2;1.5;48.4;14.2;14;1.51;17.9;10.8;1.9;56.1;29.7;0.8;0.29;0.39;-0.33;0.37;0.21;0.1;0.87;Bajo;597865;9439955;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Non salt afected soil;77.14;13.57;1.43;0.71;5.68;54;9.5;63.5;25.53;537.68;-512.15;0;NA;NA;14.58;175;18.28;29.86;24.07;3.25;186;270;125;-1.041;1.029;8.271;221.41;24.76
21;6.9;14.58;0.1;0.3;3.3;316.2;11.2;23;1.52;19.5;16.7;4.4;62.8;26;0.93;0.31;0.41;-0.32;0.4;0.3;0.17;0.93;Alto;603398;9434573;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;72.61;19.13;1.3;0.43;3.8;55.67;14.67;70.33;40.18;870.78;-830.6;0;NA;NA;15.58;187;18.32;29.91;24.12;3.24;180;180;119;-1.082;1.412;8.227;231.88;24.9
22;7.8;6.29;0.1;0.4;2.8;127.6;23.2;16.2;1.41;18.3;13;1.7;30.6;46.2;0.64;0.41;0.56;-0.26;0.52;0.24;0.12;0.87;Bajo;592378;9434779;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;80.25;10.49;2.47;0.62;7.65;32.5;4.25;36.75;36.39;631.48;-595.09;0;NA;NA;13.17;158;18.22;29.87;24.03;5.14;172;108.37;93;0.653;1.733;7.505;195.35;24.8
23;7.8;6.46;0.1;0.4;1.5;122;14.2;22.1;1.51;19.3;17.6;2;56.1;29.7;0.74;0.33;0.42;-0.31;0.4;0.32;0.2;1.1;Bajo;592751;9435302;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;79.64;9.05;1.81;0.45;8.8;44;5;49;41.5;846.58;-805.08;0;NA;NA;14.83;178;18.22;29.82;24.03;8.75;166;111.72;94;1.02;1.9;6.979;197.85;24.8
24;7.4;15.25;0.1;0.9;1.2;199.1;28.2;22.8;1.45;19.9;15.9;4.4;36.1;35.7;0.8;0.34;0.47;-0.33;0.41;0.31;0.19;1.09;Medio;597853;9431186;Piura;Morropon;Chulucanas;Mango;Clay loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;69.74;19.3;3.95;0.44;3.61;17.67;4.89;22.56;66.38;835.38;-769;0;NA;NA;14.58;175;18.22;29.98;24.11;4.59;174;134.88;94;-0.776;1.887;7.644;208.33;24.8
25;7.4;5.97;0.1;0.3;0.9;81.3;14.2;11.1;1.57;20.6;7.6;2.1;72.1;13.7;0.52;0.4;0.54;-0.27;0.5;0.26;0.13;0.94;Muy bajo;591171;9437536;Piura;Morropon;Chulucanas;Mango;Sandy loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;68.47;18.92;2.7;0.9;3.62;25.33;7;32.33;27.17;399.18;-372.01;0;NA;NA;12.92;155;18.23;29.93;24.08;3.63;186;243.53;86;0.673;1.504;7.775;196.48;24.8
26;7.7;7.34;0.1;0.2;2.7;250.2;27.2;33.5;1.36;19.4;26.5;5.7;14.8;58;0.62;0.4;0.56;-0.25;0.51;0.3;0.19;0.93;Alto;594337;9435909;Piura;Morropon;Chulucanas;Mango;Silty clay loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;79.1;17.01;0.6;0.3;4.65;132.5;28.5;161;47.69;1346.78;-1299.09;0;NA;NA;13.58;163;18.24;29.78;24;8.29;166;78.73;106;5.633;2.43;7.11;204.5;24.8
27;7.8;11.01;0.1;0.9;2;112;37.2;35.5;1.35;17.2;25.5;8;6.8;56;0.65;0.33;0.44;-0.31;0.42;0.21;0.07;0.84;Medio;590336;9436982;Piura;Morropon;Chulucanas;Limon;Silty clay loam;Lixisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;71.83;22.54;2.54;0.28;3.19;28.33;8.89;37.22;82.1;1364.58;-1282.48;0;NA;NA;12.83;154;18.21;29.95;24.08;2.29;177;45.11;85;0.592;1.511;8.224;192.55;24.8
28;7.8;8.86;0.1;0.4;1.6;158.2;31.2;29.4;1.38;17.1;21.5;6.4;16.8;52;0.74;0.31;0.42;-0.31;0.39;0.28;0.15;1;Medio;590490;9434582;Piura;Morropon;Chulucanas;Limon;Silty clay loam;Ferralsols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;73.13;21.77;1.36;0.34;3.36;53.75;16;69.75;52.88;1140.88;-1088;0;NA;NA;12.5;150;18.16;29.98;24.08;8.75;195;291.72;85;-2.265;3.009;6.917;188.3;24.8
29;7.5;7.99;0.1;0.4;1.1;128.2;24.2;16.5;1.45;20.9;11.2;3.8;36.1;39.7;0.67;0.28;0.36;-0.32;0.35;0.25;0.13;0.87;Bajo;588223;9438028;Piura;Morropon;Chulucanas;Mango;Loam;Fluvisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;67.88;23.03;2.42;0.61;2.95;28;9.5;37.5;38.16;607.18;-569.02;0;NA;NA;12.75;153;18.17;30.03;24.08;5.85;189;236.41;81;-1.265;1.495;7.26;187.1;24.8
30;7.7;8.5;0.1;0.5;2.9;228;24.2;44.5;1.39;20.7;36.2;6.2;24.1;51.7;0.78;0.36;0.49;-0.27;0.45;0.29;0.17;0.97;Alto;598472;9432812;Piura;Morropon;Chulucanas;Mango;Silty loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;81.35;13.93;1.12;0.22;5.84;72.4;12.4;84.8;71.74;1797.08;-1725.34;0;NA;NA;14.33;172;18.22;29.95;24.08;1.63;177;90;97;0.061;0.843;8.704;212.98;24.8
31;7.4;3.69;0.1;0.8;1.8;157;21.2;17.7;1.51;15.6;12.6;3.2;54.8;24;0.73;0.37;0.51;-0.28;0.46;0.21;0.1;0.8;Bajo;596042;9435205;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Non salt afected soil;71.19;18.08;4.52;0.56;3.94;15.75;4;19.75;56.54;654.38;-597.84;0;NA;NA;13.17;158;18.24;29.83;24.04;3.62;183;206.66;99;2.184;1.288;7.901;208.08;24.8
32;7.6;4.27;0.1;0.5;1;108.8;23.2;22.4;1.49;17.7;16.7;4.1;46.8;30;0.77;0.39;0.55;-0.23;0.5;0.35;0.23;1.12;Bajo;593580;9434713;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;74.55;18.3;2.23;0.45;4.07;33.4;8.2;41.6;48.67;862.88;-814.21;0;NA;NA;13;156;18.22;29.82;24.02;13.94;166;144.35;94;-1.469;2.223;6.539;200.74;24.8
33;7.4;4.23;0.1;0.6;3;266.7;25.2;17.2;1.5;17.3;13.4;2.1;50.5;24.4;0.75;0.36;0.49;-0.28;0.45;0.32;0.2;1.06;Medio;595942;9436167;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Alluvial deposit;Neutral saline soil;77.91;12.21;3.49;0.58;6.38;22.33;3.5;25.83;46.47;660.48;-614.01;0;NA;NA;13;156;18.24;29.79;24.02;1.62;180;180;106;2.51;1.5;8.772;209.83;24.8
34;7.3;3.41;0.1;0.3;0.9;57;24.2;19.3;1.48;18.1;14.3;3.6;44;31.8;0.8;0.3;0.38;-0.34;0.37;0.18;0.06;0.81;Bajo;597889;9437219;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;74.09;18.65;1.55;0.52;3.97;47.67;12;59.67;36.42;741.18;-704.76;0;NA;NA;14.08;169;18.26;29.79;24.03;3.62;177;153.34;111;0.857;1.552;8.029;217.36;24.8
35;7.9;7.07;0.1;0.6;2.9;125.7;27.2;25.8;1.44;19.4;20.4;4.2;34.6;38.2;0.77;0.5;0.71;-0.26;0.58;0.39;0.26;1.36;Medio;599486;9432729;Piura;Morropon;Chulucanas;Mango;Clay loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;79.07;16.28;2.33;0.39;4.86;34;7;41;57.04;1032.18;-975.14;0;NA;NA;14.67;176;18.25;29.95;24.1;2.29;183;225.12;101;0.327;1.076;8.396;216.26;24.8
