ID,X,Y,pH,EC,Na,K,MO,Kdisp,Silt,ECEC,BD,CEC,Ca,Mg,Sand,Clay,SQIw,SAVI,EVI,NDWI,NDVI,NDMI,NDII,GCI,clase,dpto,prov,dist,Culitvo_pr,Textura,TS,GM,ZV,CL,EG,MP,SSST,ECP,EMP,EPP,ESP,CM,CK,MK,CMK,DC,FC,NDC,GR,Pmon,Pan,Tmin,Tmax,Tavg,Slope,Hillshade,Orientatio,Elevation,TPI,TRI,TWI,Precipitat,Temperatur,site_id_internal_rk,Elevation,Slope,Orientation,Hillshade,TPI,TRI,TWI,NDVI,SAVI,NDWI,Precipitation,Temperature
11,591445,9437207,7.5,8.99,0.1,1.1,2.3,204.2,24.2,29.1,1.49,15.2,21.5,5.4,48.1,27.7,0.87,0.31,0.4,-0.33,0.38,0.32,0.2,1.08,Medio,Piura,Morropon,Chulucanas,Mango,Sandy clay loam,Cambisols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,73.88,18.56,3.78,0.34,3.98,19.55,4.91,24.45,82.68,1114.58,-1031.9,0,12.92,155,18.23,29.93,24.08,9.85,183,189.5,87,0.551,2.564,6.79,197.13,24.8,11,88.1899185180664,4.59498929977417,193.35499572753906,182.29693603515625,0.5997793078422546,2.2870428562164307,7.887190341949463,0.3845113217830658,0.312534362077713,-0.3283696174621582,197.12982177734375,24.799999237060547
12,596502,9439135,7.3,4.79,0.1,0.1,2.4,105.9,27.2,18.6,1.5,17.2,14.3,3.1,48.8,24,0.8,0.24,0.32,-0.29,0.3,0.26,0.15,0.86,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy clay loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,76.88,16.67,0.54,0.54,4.61,143,31,174,26.57,727.48,-700.91,0,14.33,172,18.29,29.86,24.06,3.25,180,153.34,115,0.265,0.898,11.659,216.12,24.8,12,114.56394958496094,1.9829587936401367,164.63880920410156,181.27247619628906,-0.20175962150096893,0.8693217635154724,9.020837783813477,0.29634642601013184,0.2408357709646225,-0.29329758882522583,216.12213134765625,24.799999237060547
13,599467,9432852,7.7,6.49,0.3,0.4,0.8,118.4,26.2,24,1.45,19.4,18.4,3.9,36.1,37.7,0.78,0.35,0.48,-0.32,0.45,0.28,0.16,1,Bajo,Piura,Morropon,Chulucanas,Mango,Loam,Acrisols,Alluvial terrace,Tropical Premontane desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,76.67,16.25,1.67,1.25,4.72,46,9.75,55.75,50.53,934.24,-883.71,0,14.67,176,18.25,29.95,24.1,5.12,183,341.5,100,0.143,1.325,7.586,216.37,24.8,13,99.99335479736328,3.299854278564453,140.07391357421875,181.0899658203125,0.1584179401397705,1.2566571235656738,8.281425476074219,0.4529114365577698,0.3508848249912262,-0.31810417771339417,216.3660125732422,24.799999237060547
14,598079,9435641,7.5,5.76,0.1,0.6,3.7,300.5,30.2,33.8,1.45,16.7,26,6.1,36.1,33.7,0.87,0.3,0.39,-0.35,0.36,0.22,0.08,0.88,Muy alto,Piura,Morropon,Chulucanas,Mango,Clay loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,76.92,18.05,1.78,0.3,4.26,43.33,10.17,53.5,65.87,1335.48,-1269.61,0,14.25,171,18.28,29.83,24.06,1.62,180,165.91,109,4.327,2.824,8.784,216.38,24.81,14,106.09050750732422,6.781922817230225,177.36119079589844,176.8907012939453,1.1892979145050049,2.5589675903320313,7.5480804443359375,0.3639419674873352,0.2999729812145233,-0.35088783502578735,216.38319396972656,24.807355880737305
15,599434,9432810,7.7,4.89,0.1,0.5,1.7,64,33.2,33.1,1.39,19.4,26.6,4.9,16.8,50,0.82,0.35,0.48,-0.32,0.45,0.39,0.25,1.35,Medio,Piura,Morropon,Chulucanas,Mango,Silty clay loam,Acrisols,Alluvial terrace,Tropical Premontane desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,80.36,14.8,1.51,0.3,5.43,53.2,9.8,63,59.93,1329.98,-1270.05,0,14.67,176,18.25,29.95,24.1,3.25,186,270,101,0.571,1.03,8.045,216.37,24.8,15,99.99335479736328,3.299854278564453,140.07391357421875,181.0899658203125,0.1584179401397705,1.2566571235656738,8.281425476074219,0.4529114365577698,0.3508848249912262,-0.31810417771339417,216.3660125732422,24.799999237060547
16,595779,9436547,7.8,7.08,0.1,0.2,1.2,252.8,27.2,27.55,1.46,16.9,24.4,2.1,36.8,36,0.79,0.34,0.45,-0.31,0.41,0.25,0.11,0.96,Medio,Piura,Morropon,Chulucanas,Mango,Clay loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Alluvial deposit,Neutral saline soil,88.57,7.62,0.73,0.36,11.62,122,10.5,132.5,39.47,1155.08,-1115.61,0,13.08,157,18.25,29.77,24.01,8.26,183,191.35,105,1.388,2.174,7.145,210.07,24.8,16,103.74234008789063,6.2654128074646,177.29110717773438,180.84197998046875,-0.3892230689525604,2.4103314876556396,7.531080722808838,0.41050273180007935,0.3419882655143738,-0.30979666113853455,210.06594848632813,24.799999237060547
17,593289,9434839,7.7,9.9,0.1,0.6,2.7,73.1,13.2,21.4,1.54,20.3,15.3,3.4,66.8,20,0.71,0.36,0.51,-0.27,0.44,0.3,0.18,1.03,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Ferralsols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,71.5,15.89,2.8,0.47,4.5,25.5,5.67,31.17,50.58,781.08,-730.5,0,13.17,158,18.22,29.87,24.03,3.24,180,180,97,3.327,2.622,7.982,199.3,24.8,17,93.74436950683594,5.125077247619629,216.72085571289063,184.15858459472656,0.327964723110199,2.035994052886963,7.597484111785889,0.4439946115016937,0.36127379536628723,-0.2706071436405182,199.3036651611328,24.799999237060547
18,598127,9440020,7.6,5.7,0.1,1.2,1.1,55.1,21.2,22.7,1.51,17.4,16.6,3.8,54.6,24.3,0.77,0.36,0.49,-0.26,0.46,0.33,0.22,1.12,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy clay loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,73.13,16.74,5.29,0.44,4.37,13.83,3.17,17,79.56,850.98,-771.42,0,14.58,175,18.27,29.83,24.06,3.63,186,296.48,127,-0.51,1.145,8.172,222.17,24.72,18,127.78965759277344,3.11832594871521,156.86453247070313,181.4553680419922,0.0692657083272934,1.322713017463684,8.614033699035645,0.4557522237300873,0.35571756958961487,-0.26494789123535156,222.17123413085938,24.724607467651367
19,596108,9436163,7.6,8.13,0.1,0.4,3.5,150.4,23.2,30.1,1.51,16.9,24.3,4.3,54.6,22.2,0.84,0.36,0.51,-0.31,0.44,0.31,0.17,1.08,Medio,Piura,Morropon,Chulucanas,Mango,Sandy clay loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Alluvial deposit,Neutral saline soil,80.73,14.29,1.33,0.33,5.65,60.75,10.75,71.5,52.11,1210.18,-1158.07,0,13.33,160,18.22,29.79,24.01,6.68,177,165.91,102,1.061,1.9,7.332,210.38,24.8,19,100.18949890136719,5.469269752502441,158.9986572265625,176.9462890625,-0.7758819460868835,1.8998844623565674,7.703262805938721,0.4384778141975403,0.3563573956489563,-0.3128332197666168,210.3841552734375,24.799999237060547
20,597865,9439955,7,3.16,0.1,0.2,1.5,48.4,14.2,14,1.51,17.9,10.8,1.9,56.1,29.7,0.8,0.29,0.39,-0.33,0.37,0.21,0.1,0.87,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Non salt afected soil,77.14,13.57,1.43,0.71,5.68,54,9.5,63.5,25.53,537.68,-512.15,0,14.58,175,18.28,29.86,24.07,3.25,186,270,125,-1.041,1.029,8.271,221.41,24.76,20,125.5597152709961,2.8403844833374023,144.9314422607422,180.2924346923828,-0.43516942858695984,1.038050651550293,8.637919425964355,0.36628666520118713,0.2937741279602051,-0.3258551061153412,221.41305541992188,24.75706672668457
